id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
2021-1130747;2021-02-12;1;Vente;495000.00;1;;"RUE DU JARDIN DES PLANTES";3660;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AP0001;;;39;97.86;40;;;;;;;;2;4;"Local industriel. commercial ou assimilé";92.00;0;;;;;;4.8296500;45.7697780;000AP
2021-1130753;2021-01-27;1;Vente;156900.00;8;;"RUE DE LA PLATIERE";5595;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AV0006;;;17;14.87;;;;;;;;;1;4;"Local industriel. commercial ou assimilé";16.00;0;;;;;;4.8314090;45.7657980;000AV
2021-1130760;2021-01-27;1;Vente;30000.00;18;;"RUE PIERRE DUPONT";5480;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AB0032;;;49;;;;;;;;;;1;3;Dépendance;;0;;;;;;4.8184590;45.7702200;000AB
2021-1130767;2021-01-26;1;Vente;328200.00;8;;"RUE POUTEAU";5680;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AO0236;;;2;;38;60.92;57;;;;;;3;2;Appartement;65.00;3;;;;;;4.8328870;45.7721720;000AO
2021-1130769;2021-02-01;1;Vente;69000.00;10;;"QUAI ANDRE LASSAGNE";0275;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AN0033;;;54;35.80;;;;;;;;;1;2;Appartement;36.00;1;;;;;;4.8375870;45.7710410;000AN
2021-1130789;2021-02-03;1;Vente;534700.00;33;;"RUE RENE LEYNAUD";5990;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AR0016;;;104;99.21;139;;;;;;;;2;2;Appartement;92.00;4;;;;;;4.8346890;45.7702030;000AR
2021-1130796;2021-02-03;1;Vente;201000.00;1;;"RUE DU PLATRE";5600;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AT0074;;;65;28.03;;;;;;;;;1;2;Appartement;25.00;1;;;;;;4.8333280;45.7661910;000AT
2021-1130801;2021-02-08;1;Vente;228500.00;7;;"RUE DE LA PLATIERE";5595;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AT0120;;;17;98.65;;;;;;;;;1;4;"Local industriel. commercial ou assimilé";98.00;0;;;;;;4.8315350;45.7661680;000AT
2021-1130801;2021-02-08;1;Vente;228500.00;7;;"RUE DE LA PLATIERE";5595;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AT0120;;;56;;;;;;;;;;1;4;"Local industriel. commercial ou assimilé";6.00;0;;;;;;4.8315350;45.7661680;000AT
2021-1130812;2021-02-02;1;Vente;249100.00;9;;"CRS GENERAL GIRAUD";3130;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AB0196;;;21;100.91;4;;;;;;;;2;2;Appartement;104.00;4;;;;;;4.8173160;45.7703020;000AB
